node,centrality,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
11138886100,betweenness,,,,,,,,,0.007595345830639948,0.045513095749248604,,,
11138886100,betweenness_rank,,,,,,,,,95.0,27.0,,,
11138886100,closeness,,,,,,,,,0.10528345545699962,0.1905424200278164,,,
11138886100,degree,,,,,,,,,3.0,3.0,3.0,3.0,3.0
11138886100,eigenvector,,,,,,,,,6.678093616738211e-05,0.16369496605558206,,,
11138886100,eigenvector_rank,,,,,,,,,129.0,7.0,,,
11138886100,giant,,,,,,,,,1.0,1.0,0.0,0.0,0.0
11138886100,num_2nd_neighbors,,,,,,,,,7.0,6.0,3.0,3.0,6.0
11139119800,betweenness,,,,,,,,,0.007595345830639948,0.045513095749248604,,,
11139119800,betweenness_rank,,,,,,,,,95.0,27.0,,,
11139119800,closeness,,,,,,,,,0.10528345545699962,0.1905424200278164,,,
11139119800,degree,,,,,,,,,3.0,3.0,3.0,3.0,3.0
11139119800,eigenvector,,,,,,,,,6.678093616735435e-05,0.1636949660555822,,,
11139119800,eigenvector_rank,,,,,,,,,130.0,6.0,,,
11139119800,giant,,,,,,,,,1.0,1.0,0.0,0.0,0.0
11139119800,num_2nd_neighbors,,,,,,,,,7.0,6.0,3.0,3.0,6.0
11139411000,betweenness,,,,,,,,,,,,,
11139411000,betweenness_rank,,,,,,,,,,,,,
11139411000,closeness,,,,,,,,,,,,,
11139411000,degree,,,,,,,2.0,2.0,2.0,,,,
11139411000,eigenvector,,,,,,,,,,,,,
11139411000,eigenvector_rank,,,,,,,,,,,,,
11139411000,giant,,,,,,,0.0,0.0,0.0,,,,
11139411000,num_2nd_neighbors,,,,,,,3.0,3.0,3.0,,,,
11139550100,betweenness,,,,,,,,,,,,,
11139550100,betweenness_rank,,,,,,,,,,,,,
11139550100,closeness,,,,,,,,,,,,,
11139550100,degree,,,,,,,,,,1.0,1.0,1.0,
11139550100,eigenvector,,,,,,,,,,,,,
11139550100,eigenvector_rank,,,,,,,,,,,,,
11139550100,giant,,,,,,,,,,0.0,0.0,0.0,
11139550100,num_2nd_neighbors,,,,,,,,,,0.0,0.0,3.0,
11140375800,betweenness,,,,,,,,,,,,,
11140375800,betweenness_rank,,,,,,,,,,,,,
11140375800,closeness,,,,,,,,,,,,,
11140375800,degree,,,,,,2.0,3.0,3.0,1.0,0.0,0.0,1.0,1.0
11140375800,eigenvector,,,,,,,,,,,,,
11140375800,eigenvector_rank,,,,,,,,,,,,,
11140375800,giant,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11140375800,num_2nd_neighbors,,,,,,2.0,0.0,6.0,1.0,0.0,0.0,7.0,6.0
11140595200,betweenness,,,,,,,,,,,,0.0,0.0
11140595200,betweenness_rank,,,,,,,,,,,,290.0,333.0
11140595200,closeness,,,,,,,,,,,,0.07981948949372444,0.0893908281998631
11140595200,degree,,,,,,,,,,,,2.0,2.0
11140595200,eigenvector,,,,,,,,,,,,3.3325450959509406e-07,1.1678628847870873e-07
11140595200,eigenvector_rank,,,,,,,,,,,,325.0,419.0
11140595200,giant,,,,,,,,,,,,1.0,1.0
11140595200,num_2nd_neighbors,,,,,,,,,,,,8.0,4.0
11142294500,betweenness,,,,,,,,,,,,,
11142294500,betweenness_rank,,,,,,,,,,,,,
11142294500,closeness,,,,,,,,,,,,,
11142294500,degree,1.0,1.0,1.0,,,,,,,,,,
11142294500,eigenvector,,,,,,,,,,,,,
11142294500,eigenvector_rank,,,,,,,,,,,,,
11142294500,giant,0.0,0.0,0.0,,,,,,,,,,
11142294500,num_2nd_neighbors,0.0,2.0,4.0,,,,,,,,,,
11239173800,betweenness,,,,,,,,,,,,,
11239173800,betweenness_rank,,,,,,,,,,,,,
11239173800,closeness,,,,,,,,,,,,,
11239173800,degree,,,,,,,,,,,,,2.0
11239173800,eigenvector,,,,,,,,,,,,,
11239173800,eigenvector_rank,,,,,,,,,,,,,
11239173800,giant,,,,,,,,,,,,,0.0
11239173800,num_2nd_neighbors,,,,,,,,,,,,,2.0
11240483400,betweenness,,,,,,,,,,,,,
11240483400,betweenness_rank,,,,,,,,,,,,,
11240483400,closeness,,,,,,,,,,,,,
11240483400,degree,,,,,,,,,1.0,2.0,2.0,1.0,
11240483400,eigenvector,,,,,,,,,,,,,
11240483400,eigenvector_rank,,,,,,,,,,,,,
11240483400,giant,,,,,,,,,0.0,0.0,0.0,0.0,
11240483400,num_2nd_neighbors,,,,,,,,,0.0,2.0,2.0,0.0,
11439374800,betweenness,,,,,,,,,,,,,
11439374800,betweenness_rank,,,,,,,,,,,,,
11439374800,closeness,,,,,,,,,,,,,
11439374800,degree,,,,,,,,,,1.0,1.0,1.0,1.0
11439374800,eigenvector,,,,,,,,,,,,,
11439374800,eigenvector_rank,,,,,,,,,,,,,
11439374800,giant,,,,,,,,,,0.0,0.0,0.0,0.0
11439374800,num_2nd_neighbors,,,,,,,,,,3.0,0.0,0.0,0.0
11439491700,betweenness,,,,,,,,,,,0.053775857075349674,0.1230693058986627,
11439491700,betweenness_rank,,,,,,,,,,,54.0,43.0,
